City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
new norfolk,AU,64.0,32,29,10.0,-42.7826,147.0587,1615686654
mataura,NZ,75.0,43,40,15.01,-46.1927,168.8643,1615686640
carnarvon,AU,89.6,48,32,16.11,-24.8667,113.6333,1615686702
vaini,TO,80.6,78,40,8.05,-21.2,-175.2,1615686650
alofi,NU,86.0,66,98,8.05,-19.0595,-169.9187,1615686821
kapaa,US,73.0,88,90,27.63,22.0752,-159.319,1615686644
namie,JP,57.0,48,100,1.01,37.4833,141.0,1615686821
jamestown,US,35.01,47,1,12.57,42.097,-79.2353,1615686646
barrow,US,-4.0,71,1,14.97,71.2906,-156.7887,1615686637
tuktoyaktuk,CA,-9.4,84,90,6.91,69.4541,-133.0374,1615686656
busselton,AU,64.99,60,0,7.0,-33.65,115.3333,1615686645
ahipara,NZ,71.31,56,0,3.6,-35.1667,173.1667,1615686705
qaanaaq,GL,-1.79,64,100,7.83,77.484,-69.3632,1615686654
rikitea,PF,80.49,73,24,8.39,-23.1203,-134.9692,1615686633
sibu,MY,78.8,89,20,4.61,2.3,111.8167,1615686823
bambous virieux,MU,78.8,89,75,8.05,-20.3428,57.7575,1615686640
kilindoni,TZ,80.47,66,0,2.89,-7.9139,39.6668,1615686823
dzhebariki-khaya,RU,14.25,93,100,3.89,62.2167,135.8,1615686823
cidreira,BR,73.78,87,4,10.36,-30.1811,-50.2056,1615686678
waipawa,NZ,69.8,60,20,21.85,-41.4122,175.5153,1615686818
puerto ayora,EC,78.01,91,98,1.99,-0.7393,-90.3518,1615686647
kavaratti,IN,82.96,69,72,7.65,10.5669,72.642,1615686824
codrington,AU,59.81,49,85,11.34,-38.2667,141.9667,1615686748
hasaki,JP,61.0,38,20,18.41,35.7333,140.8333,1615686404
narsaq,GL,26.6,54,75,3.44,60.9167,-46.05,1615686720
azangaro,PE,45.43,87,100,5.14,-14.9167,-70.2167,1615686825
tuatapere,NZ,75.0,43,51,15.01,-46.1333,167.6833,1615686715
albany,US,33.01,44,1,4.47,42.6001,-73.9662,1615686649
mar del plata,AR,66.99,82,0,3.44,-38.0023,-57.5575,1615686647
ushuaia,AR,44.6,65,75,18.41,-54.8,-68.3,1615686641
severo-yeniseyskiy,RU,2.91,90,98,12.15,60.3725,93.0408,1615686826
olinda,BR,80.6,61,75,9.22,-8.0089,-34.8553,1615686826
butaritari,KI,80.94,78,91,10.8,3.0707,172.7902,1615686681
makakilo city,US,73.4,78,75,6.91,21.3469,-158.0858,1615686636
pozo colorado,PY,81.3,48,15,3.83,-23.4923,-58.7972,1615686827
lompoc,US,51.8,71,40,10.36,34.6391,-120.4579,1615686695
bredasdorp,ZA,66.2,88,94,9.22,-34.5322,20.0403,1615686640
kruisfontein,ZA,66.99,86,92,1.99,-34.0033,24.7314,1615686744
egvekinot,RU,22.98,92,100,18.66,66.3167,-179.1667,1615686828
hilo,US,69.8,83,90,5.75,19.7297,-155.09,1615686641
hobart,AU,64.0,36,0,16.11,-42.8794,147.3294,1615686602
hithadhoo,MV,83.86,68,46,10.04,-0.6,73.0833,1615686656
clyde river,CA,-5.8,84,90,25.32,70.4692,-68.5914,1615686635
najran,SA,66.2,30,90,4.61,17.4924,44.1277,1615686829
mbandaka,CD,72.01,94,100,6.69,0.0487,18.2603,1615686829
oranjemund,NA,64.9,85,13,6.29,-28.55,16.4333,1615686829
awbari,LY,59.99,32,0,2.35,26.5921,12.7805,1615686830
kuusankoski,FI,33.01,100,90,5.75,60.907,26.6244,1615686830
punta arenas,CL,46.4,53,0,11.5,-53.15,-70.9167,1615686638
kangaatsiaq,GL,13.21,87,100,14.16,68.3065,-53.4641,1615686831
los llanos de aridane,ES,64.4,68,40,8.05,28.6585,-17.9182,1615686709
